,StateAbbr,CityName,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
23161,TN,Memphis,4748000-47157021741,CrdPrv,17.5,15.9,19.2,"7,888","(35.027670611, -89.8616102801)",4748000.0,47157021741.0
23210,TN,Memphis,4748000-47157008120,CrdPrv,18.0,16.5,19.5,"4,393","(35.0869484061, -89.9617240752)",4748000.0,47157008120.0
23216,TN,Memphis,4748000-47157007100,CrdPrv,11.1,9.9,12.2,"2,549","(35.1242946184, -89.9655983986)",4748000.0,47157007100.0
23259,TN,Memphis,4748000-47157000300,CrdPrv,20.1,18.2,22.1,"1,060","(35.1781294208, -90.0296002982)",4748000.0,47157000300.0
23315,TN,Memphis,4748000-47157022330,CrdPrv,15.6,14.1,17.4,"4,744","(35.0281454156, -90.0838624162)",4748000.0,47157022330.0
23372,TN,Memphis,4748000-47157021112,CrdPrv,15.4,14.2,16.7,"6,724","(35.1922797523, -89.8263395869)",4748000.0,47157021112.0
23788,TN,Memphis,4748000-47157021200,CrdPrv,16.8,14.7,18.7,"4,526","(35.1569431695, -89.8670777912)",4748000.0,47157021200.0
23819,TN,Memphis,4748000-47157005600,CrdPrv,16.1,14.2,18.0,"3,802","(35.0890361265, -90.0447067021)",4748000.0,47157005600.0
24105,TN,Memphis,4748000-47157008600,CrdPrv,10.8,10.0,11.9,"5,886","(35.140020949, -89.91323747)",4748000.0,47157008600.0
24110,TN,Memphis,4748000-47157011400,CrdPrv,21.6,19.2,24.2,"5,954","(35.136540808, -90.0455635784)",4748000.0,47157011400.0
24219,TN,Memphis,4748000-47157009700,CrdPrv,16.8,15.7,17.9,"2,908","(35.0821732775, -89.9098824275)",4748000.0,47157009700.0
24416,TN,Memphis,4748000-47157005800,CrdPrv,19.9,17.9,22.1,"1,235","(35.1117123924, -90.0511300652)",4748000.0,47157005800.0
24489,TN,Memphis,4748000-47157020531,CrdPrv,15.6,14.0,17.3,"1,719","(35.2540036572, -89.9259465115)",4748000.0,47157020531.0
24730,TN,Memphis,4748000-47157000100,CrdPrv,10.2,9.0,12.0,"5,394","(35.1731784988, -90.0515798019)",4748000.0,47157000100.0
24776,TN,Memphis,4748000-47157021732,CrdPrv,16.8,15.2,18.7,"6,966","(35.0426452021, -89.8557493943)",4748000.0,47157021732.0
25038,TN,Memphis,4748000-47157006500,CrdPrv,17.1,15.4,18.8,"2,747","(35.1043221535, -89.9974863664)",4748000.0,47157006500.0
25061,TN,Memphis,4748000-47157011020,CrdPrv,16.4,14.7,18.3,"1,615","(35.0403975855, -89.9453385844)",4748000.0,47157011020.0
25352,TN,Memphis,4748000-47157006800,CrdPrv,18.7,16.8,20.7,"2,538","(35.1041339015, -89.9766825927)",4748000.0,47157006800.0
25372,TN,Memphis,4748000-47157021900,CrdPrv,16.9,15.0,18.8,"5,031","(35.009319048, -89.9618636285)",4748000.0,47157021900.0
25503,TN,Memphis,4748000-47157020524,CrdPrv,17.8,16.1,19.7,"4,909","(35.2310517969, -89.9401788519)",4748000.0,47157020524.0
25638,TN,Memphis,4748000-47157001900,CrdPrv,19.2,17.4,21.2,"1,601","(35.1633019396, -90.0233116647)",4748000.0,47157001900.0
25858,TN,Memphis,4748000-47157010120,CrdPrv,20.6,18.4,22.8,"5,399","(35.2005241897, -90.0158277606)",4748000.0,47157010120.0
26022,TN,Memphis,4748000-47157022023,CrdPrv,15.8,13.8,17.9,"2,757","(35.0537225249, -90.0183008364)",4748000.0,47157022023.0
26328,TN,Memphis,4748000-47157001400,CrdPrv,21.1,19.2,23.1,"1,648","(35.1546953557, -89.9616023803)",4748000.0,47157001400.0
26390,TN,Memphis,4748000-47157011100,CrdPrv,19.4,17.5,21.5,"1,892","(35.1731522309, -89.9566873032)",4748000.0,47157011100.0
27617,TN,Memphis,4748000-47157007300,CrdPrv,16.7,14.8,18.8,"4,127","(35.1209840406, -89.9363799177)",4748000.0,47157007300.0
27646,TN,Memphis,4748000-47157021320,CrdPrv,10.3,9.3,11.3,"5,924","(35.0921858044, -89.8509901218)",4748000.0,47157021320.0
27696,TN,Memphis,4748000-47157010210,CrdPrv,19.1,17.0,21.5,"5,706","(35.2257022414, -89.9778893991)",4748000.0,47157010210.0
27716,TN,Memphis,4748000-47157003000,CrdPrv,14.6,13.4,15.9,"2,938","(35.1354661855, -89.9540526144)",4748000.0,47157003000.0
27892,TN,Memphis,4748000-47157008800,CrdPrv,22.4,21.2,23.5,"6,854","(35.1713217399, -89.9252083423)",4748000.0,47157008800.0
28008,TN,Memphis,4748000-47157003300,CrdPrv,10.5,9.2,11.9,"2,141","(35.1281689116, -89.9987070779)",4748000.0,47157003300.0
28143,TN,Memphis,4748000-47157003700,CrdPrv,18.4,16.7,20.2,"1,345","(35.1355345124, -90.0278933981)",4748000.0,47157003700.0
28236,TN,Memphis,4748000-47157021754,CrdPrv,14.4,12.9,16.0,"2,364","(35.0167942091, -89.8399559878)",4748000.0,47157021754.0
28337,TN,Memphis,4748000-47157020621,CrdPrv,15.5,14.0,17.0,"5,528","(35.1952083691, -89.8854018251)",4748000.0,47157020621.0
28803,TN,Memphis,4748000-47157003500,CrdPrv,11.4,10.0,13.0,"2,996","(35.1279253708, -90.0135953257)",4748000.0,47157003500.0
28920,TN,Memphis,4748000-47157021342,CrdPrv,10.1,8.9,11.2,"2,511","(35.0556004432, -89.7984751532)",4748000.0,47157021342.0
