,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
16010,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171402,CrdPrv,15.1,13.9,16.4,"5,433","(29.4425398642, -98.5819502128)",4865000.0,48029171402.0
16040,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191701,CrdPrv,8.5,7.5,9.5,293,"(29.5821974926, -98.5001510437)",4865000.0,48029191701.0
16061,2016,TX,Texas,San Antonio,Census Tract,4865000-48029151700,CrdPrv,12.6,11.7,13.5,"6,423","(29.3294560047, -98.5006291916)",4865000.0,48029151700.0
16079,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191816,CrdPrv,8.1,7.3,9.0,"2,761","(29.6172552342, -98.5019083415)",4865000.0,48029191816.0
16264,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191808,CrdPrv,9.3,8.3,10.3,895,"(29.6514068344, -98.468920134)",4865000.0,48029191808.0
16522,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181703,CrdPrv,10.4,9.4,11.4,"6,952","(29.5274501685, -98.6514036123)",4865000.0,48029181703.0
16530,2016,TX,Texas,San Antonio,Census Tract,4865000-48029130500,CrdPrv,18.1,17.1,19.1,"4,146","(29.4192225565, -98.4521675053)",4865000.0,48029130500.0
16717,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191503,CrdPrv,8.6,7.9,9.3,"5,216","(29.5747045496, -98.5732862696)",4865000.0,48029191503.0
16746,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181302,CrdPrv,10.5,9.8,11.4,"6,188","(29.541797116, -98.5657884386)",4865000.0,48029181302.0
16834,2016,TX,Texas,San Antonio,Census Tract,4865000-48029161302,CrdPrv,15.2,13.5,17.0,"5,889","(29.3327828477, -98.6131747158)",4865000.0,48029161302.0
16856,2016,TX,Texas,San Antonio,Census Tract,4865000-48029151900,CrdPrv,14.0,12.9,15.0,"3,811","(29.2935488652, -98.4842824127)",4865000.0,48029151900.0
