,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
12987,2016,CA,California,Los Angeles,Census Tract,0644000-06037291120,CrdPrv,15.0,13.5,16.3,"2,210","(33.9127933773, -118.286924731)",644000.0,6037291120.0
12993,2016,CA,California,Los Angeles,Census Tract,0644000-06037213320,CrdPrv,13.4,11.8,14.8,"2,481","(34.0508830751, -118.293699971)",644000.0,6037213320.0
13105,2016,CA,California,Los Angeles,Census Tract,0644000-06037104620,CrdPrv,14.5,12.8,16.1,"3,539","(34.2579043724, -118.422464804)",644000.0,6037104620.0
13147,2016,CA,California,Los Angeles,Census Tract,0644000-06037277100,CrdPrv,9.0,8.2,9.9,"3,004","(33.9652241647, -118.378382337)",644000.0,6037277100.0
13155,2016,CA,California,Los Angeles,Census Tract,0644000-06037237300,CrdPrv,13.8,12.6,15.0,"5,262","(33.9782832843, -118.31107135)",644000.0,6037237300.0
13158,2016,CA,California,Los Angeles,Census Tract,0644000-06037227020,CrdPrv,19.2,16.8,21.3,"3,599","(34.0157536691, -118.251932973)",644000.0,6037227020.0
13190,2016,CA,California,Los Angeles,Census Tract,0644000-06037211120,CrdPrv,10.6,9.6,11.6,"5,194","(34.0652365051, -118.287777515)",644000.0,6037211120.0
13211,2016,CA,California,Los Angeles,Census Tract,0644000-06037294620,CrdPrv,15.5,13.6,17.4,"4,219","(33.787469633, -118.247926624)",644000.0,6037294620.0
13221,2016,CA,California,Los Angeles,Census Tract,0644000-06037214400,CrdPrv,10.9,9.3,12.9,"2,877","(34.0781666129, -118.357327627)",644000.0,6037214400.0
13259,2016,CA,California,Los Angeles,Census Tract,0644000-06037143500,CrdPrv,9.6,8.5,10.8,"4,708","(34.1477570057, -118.407088937)",644000.0,6037143500.0
13377,2016,CA,California,Los Angeles,Census Tract,0644000-06037211202,CrdPrv,12.6,11.1,14.0,"2,645","(34.0745209157, -118.294112969)",644000.0,6037211202.0
13395,2016,CA,California,Los Angeles,Census Tract,0644000-06037213402,CrdPrv,15.6,13.9,17.4,"4,645","(34.0498405303, -118.287888239)",644000.0,6037213402.0
13416,2016,CA,California,Los Angeles,Census Tract,0644000-06037127102,CrdPrv,14.7,13.3,16.1,"4,726","(34.2060073784, -118.444525277)",644000.0,6037127102.0
13587,2016,CA,California,Los Angeles,Census Tract,0644000-06037190510,CrdPrv,14.3,13.4,15.3,"4,227","(34.09997707, -118.31139008)",644000.0,6037190510.0
13610,2016,CA,California,Los Angeles,Census Tract,0644000-06037135203,CrdPrv,10.1,9.2,11.0,"6,273","(34.1917396376, -118.656363782)",644000.0,6037135203.0
13641,2016,CA,California,Los Angeles,Census Tract,0644000-06037189702,CrdPrv,9.2,8.4,10.2,"2,227","(34.1124843186, -118.341017086)",644000.0,6037189702.0
13650,2016,CA,California,Los Angeles,Census Tract,0644000-06037139303,CrdPrv,11.8,10.8,12.8,"4,186","(34.1762844552, -118.533307344)",644000.0,6037139303.0
13671,2016,CA,California,Los Angeles,Census Tract,0644000-06037183401,CrdPrv,11.3,10.1,12.6,"2,543","(34.1216661876, -118.209226229)",644000.0,6037183401.0
13680,2016,CA,California,Los Angeles,Census Tract,0644000-06037111206,CrdPrv,9.3,8.5,10.1,"4,490","(34.2675477869, -118.534498108)",644000.0,6037111206.0
13689,2016,CA,California,Los Angeles,Census Tract,0644000-06037195802,CrdPrv,11.5,10.4,12.6,"2,881","(34.0756705025, -118.277695943)",644000.0,6037195802.0
13699,2016,CA,California,Los Angeles,Census Tract,0644000-06037194402,CrdPrv,9.4,8.6,10.4,"3,335","(34.0850407293, -118.371901237)",644000.0,6037194402.0
13701,2016,CA,California,Los Angeles,Census Tract,0644000-06037134800,CrdPrv,12.1,11.0,13.1,"5,949","(34.1963034858, -118.571341973)",644000.0,6037134800.0
13715,2016,CA,California,Los Angeles,Census Tract,0644000-06037208301,CrdPrv,17.4,14.8,19.9,"2,201","(34.0619781163, -118.265849173)",644000.0,6037208301.0
13736,2016,CA,California,Los Angeles,Census Tract,0644000-06037239320,CrdPrv,17.5,15.6,19.2,"3,444","(33.9785675935, -118.271738422)",644000.0,6037239320.0
13743,2016,CA,California,Los Angeles,Census Tract,0644000-06037132300,CrdPrv,13.4,12.2,14.6,"6,494","(34.1974432832, -118.527325296)",644000.0,6037132300.0
13752,2016,CA,California,Los Angeles,Census Tract,0644000-06037185203,CrdPrv,14.4,12.8,16.3,"3,200","(34.1001272333, -118.231688413)",644000.0,6037185203.0
13765,2016,CA,California,Los Angeles,Census Tract,0644000-06037201402,CrdPrv,11.7,10.5,12.9,"4,311","(34.0689106907, -118.187768106)",644000.0,6037201402.0
13821,2016,CA,California,Los Angeles,Census Tract,0644000-06037187102,CrdPrv,11.5,10.2,12.7,"3,254","(34.1037126447, -118.243182536)",644000.0,6037187102.0
13830,2016,CA,California,Los Angeles,Census Tract,0644000-06037183220,CrdPrv,12.0,10.6,13.4,"4,114","(34.1199722328, -118.189286157)",644000.0,6037183220.0
13842,2016,CA,California,Los Angeles,Census Tract,0644000-06037203800,CrdPrv,15.9,14.0,17.7,"4,589","(34.044985663, -118.195575655)",644000.0,6037203800.0
13884,2016,CA,California,Los Angeles,Census Tract,0644000-06037242200,CrdPrv,18.0,16.4,19.7,"6,554","(33.9486636657, -118.239184253)",644000.0,6037242200.0
13897,2016,CA,California,Los Angeles,Census Tract,0644000-06037190301,CrdPrv,12.5,11.3,14.0,"4,758","(34.103794524, -118.315197004)",644000.0,6037190301.0
13912,2016,CA,California,Los Angeles,Census Tract,0644000-06037192520,CrdPrv,14.9,13.4,16.5,"5,067","(34.0799255314, -118.302497159)",644000.0,6037192520.0
13962,2016,CA,California,Los Angeles,Census Tract,0644000-06037103200,CrdPrv,13.0,12.1,14.0,"6,146","(34.2722216165, -118.33769961)",644000.0,6037103200.0
13977,2016,CA,California,Los Angeles,Census Tract,0644000-06037131010,CrdPrv,14.6,13.5,16.0,"6,409","(34.2148312256, -118.540358181)",644000.0,6037131010.0
14001,2016,CA,California,Los Angeles,Census Tract,0644000-06037143800,CrdPrv,8.4,7.6,9.4,"4,878","(34.1355569489, -118.380589361)",644000.0,6037143800.0
14044,2016,CA,California,Los Angeles,Census Tract,0644000-06037235202,CrdPrv,15.0,13.5,16.4,"4,557","(33.9730801699, -118.330376052)",644000.0,6037235202.0
14053,2016,CA,California,Los Angeles,Census Tract,0644000-06037204420,CrdPrv,18.8,16.6,20.8,"3,138","(34.0445316599, -118.211619688)",644000.0,6037204420.0
14080,2016,CA,California,Los Angeles,Census Tract,0644000-06037294701,CrdPrv,18.1,16.4,19.8,"3,019","(33.7780161027, -118.254907777)",644000.0,6037294701.0
14116,2016,CA,California,Los Angeles,Census Tract,0644000-06037234700,CrdPrv,14.7,13.5,15.9,"3,888","(33.9872211418, -118.327685235)",644000.0,6037234700.0
14120,2016,CA,California,Los Angeles,Census Tract,0644000-06037219300,CrdPrv,16.0,14.6,17.4,"3,700","(34.0267587846, -118.331829961)",644000.0,6037219300.0
14140,2016,CA,California,Los Angeles,Census Tract,0644000-06037185310,CrdPrv,15.0,13.2,16.6,"3,061","(34.0922029328, -118.22262577)",644000.0,6037185310.0
14156,2016,CA,California,Los Angeles,Census Tract,0644000-06037214502,CrdPrv,9.5,8.5,10.5,"5,528","(34.0680052075, -118.350404209)",644000.0,6037214502.0
14160,2016,CA,California,Los Angeles,Census Tract,0644000-06037265301,CrdPrv,14.3,13.4,15.1,"9,344","(34.0710687718, -118.445434311)",644000.0,6037265301.0
14175,2016,CA,California,Los Angeles,Census Tract,0644000-06037237710,CrdPrv,17.0,15.4,18.7,"3,887","(33.9726959022, -118.286136368)",644000.0,6037237710.0
14194,2016,CA,California,Los Angeles,Census Tract,0644000-06037134904,CrdPrv,12.1,11.0,13.3,"4,338","(34.1911257579, -118.580534641)",644000.0,6037134904.0
14248,2016,CA,California,Los Angeles,Census Tract,0644000-06037128101,CrdPrv,13.0,12.1,13.9,"3,738","(34.1902993555, -118.435617396)",644000.0,6037128101.0
